"time","cases"
0,29
7,0
14,0
21,2
28,2
35,2
42,1
49,2
56,0
63,4
70,0
77,0
84,9
91,0
98,4
105,2
112,1
119,2
126,1
133,5
140,1
147,0
154,0
161,2
168,8
175,11
182,4
189,0
196,16
203,9
210,2
217,9
224,3
231,1
238,17
245,4
252,4
259,24
266,9
273,19
280,11
287,13
294,16
301,7
308,20
315,10
322,19
329,12
336,29
343,15
350,5
357,14
364,8
371,23
378,35
385,23
392,24
399,17
406,27
413,60
420,22
427,19
434,37
441,15
448,21
455,32
462,26
469,43
476,25
483,39
490,34
497,53
504,53
511,69
518,56
525,39
532,74
539,56
