Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
7.330002904294469,1.0826095826251554,0.11449285548915111,4.470833374941185,0.2045870378907827,37999.999999999985,-103.33210019134262,0.06876458862919035
7.649828296059584,0.9521953524424454,0.1170745937329881,4.547958108090511,0.18363654310272323,38000.00000000001,-103.33744031816447,0.048376323376355494
6.326585785639172,1.018913538626786,0.10000588599972518,4.370292301076096,0.2284446352584898,38000.000000000044,-103.34197829518,0.031756221277052625
4.690293608993703,1.4315764107410922,0.07101496479891135,4.94596587645344,0.38459442955432926,37999.999999999985,-103.36040796715673,0.041510352081711825
6.916702414672698,1.0989333952096696,0.10680878013210787,4.45344222883093,0.21869305801358507,38000.00000000002,-103.3629843762995,0.05081040693285269
6.34109224772062,1.1761333615124199,0.09853903693319209,4.749069176621941,0.2490832240373893,37999.99999999999,-103.36910573932244,0.03255109758829529
3.4989277413163125,1.5719917296068406,0.05563101458780271,4.743483682775014,0.5428444669177699,37999.99999999999,-103.3742517401784,0.040926919196485397
7.187001993964076,0.9328373085433529,0.11211978792045428,3.93484222283798,0.19176885298654253,37999.99999999995,-103.37947876279758,0.03826231331155091
5.78953853859284,1.0990773271289127,0.09064111170878716,4.271458036423643,0.26127390992688954,37999.999999999956,-103.38411673793983,0.039591118006557256
6.387684541207016,1.0663688621019176,0.09968282671873059,4.071805456897862,0.23304409357681585,38000.00000000004,-103.38549229903988,0.03329063845799208
4.366029063596515,1.560219405776828,0.0678857079992896,4.852554242946528,0.4332580637885818,38000.00000000002,-103.38799212887074,0.03645102342704122
7.338650763293797,0.9990336359782014,0.11276872628644524,4.92169386840648,0.19643534518086625,38000.000000000015,-103.38957247701639,0.04205940124235543
3.5553109027650875,1.5789820326657242,0.05455309947228368,4.50480952278759,0.5317938028595074,38000.00000000004,-103.3897152652335,0.04450558876488302
9.74583604074051,0.913309440935048,0.1525143575682793,5.106137735868114,0.14049257472455393,37999.99999999998,-103.39292862345552,0.04025327762741319
6.841001865137321,1.0192551291510303,0.10774088854121994,4.573968146340481,0.21252460212857402,37999.99999999999,-103.39372557238816,0.04480598949833385
6.032820218410727,1.1800028783510088,0.09280098352890959,4.802714803781732,0.2633887042871006,37999.99999999995,-103.39423485772468,0.027809995925168942
7.356128841525326,0.9810006782851224,0.11156496461284583,4.222875812040409,0.19369915132392082,37999.99999999994,-103.39432360268935,0.0495958287682172
5.724265434511919,1.1190342105244055,0.09025781730230732,4.376467976964332,0.26630815603993335,37999.99999999997,-103.39497152751807,0.04973816845238306
4.299869047477368,1.2031525735911632,0.06712360157939624,4.4853912264867875,0.37373823845150966,38000.00000000001,-103.39866194821687,0.0343479431586667
7.165137059634679,0.9993362562595531,0.10937657856941796,4.695139733094479,0.2019796012510098,37999.99999999999,-103.39997052122482,0.02211283994007913
5.465267388144762,1.135798991766438,0.08471659554696222,4.3077643804699,0.2840128058736108,38000,-103.40151756823364,0.043895995906408476
7.856107171175349,1.0511444977153004,0.1230041935796274,4.635253061806434,0.1885034007335808,37999.99999999996,-103.40172499856644,0.03637457729649809
4.62095215526123,1.348141160041249,0.07239932106975772,4.496100500769909,0.37171592937899395,37999.99999999999,-103.40311935843899,0.03819282173994006
6.184900935386529,1.254285978869993,0.09465363149758092,4.729791063545498,0.2680206221865766,38000.000000000044,-103.4033679102963,0.041193133792440745
3.9578231805796307,1.6478888072158404,0.06289418871651795,4.921953376000379,0.4922397405425434,38000.00000000002,-103.40602353791836,0.04759795433507296
6.159762212098546,1.2756271893296895,0.09682967469654519,4.747230814601262,0.27234119242257465,37999.99999999999,-103.406644228787,0.05270452241069586
9.072193920084244,0.916195472951491,0.14043057240492762,4.476892840333233,0.15156781482051582,37999.999999999985,-103.4087636507176,0.05967987449999378
3.0030344876787214,1.7304914756371046,0.04657994347898447,4.582144589185492,0.6739293627859897,37999.99999999999,-103.4095181283004,0.04195127893902382
