London,Birmingham,Liverpool,week,date
93,19,4,1,1918-06-29
258,114,15,2,1918-07-06
279,115,40,3,1918-07-13
165,51,30,4,1918-07-20
75,14,31,5,1918-07-27
30,4,12,6,1918-08-03
28,3,3,7,1918-08-10
16,4,3,8,1918-08-17
15,4,1,9,1918-08-24
10,2,5,10,1918-08-31
13,2,1,11,1918-09-07
15,NA,NA,12,1918-09-14
13,2,2,13,1918-09-21
17,1,16,14,1918-09-28
25,2,34,15,1918-10-05
110,3,127,16,1918-10-12
519,15,226,17,1918-10-19
1579,60,211,18,1918-10-26
2651,106,180,19,1918-11-02
2413,204,115,20,1918-11-09
1588,261,74,21,1918-11-16
1160,322,54,22,1918-11-23
918,371,72,23,1918-11-30
597,266,68,24,1918-12-07
262,136,54,25,1918-12-14
165,61,43,26,1918-12-21
102,24,48,27,1918-12-28
72,20,71,28,1919-01-04
59,14,55,29,1919-01-11
44,7,33,30,1919-01-18
36,5,43,31,1919-01-25
68,8,27,32,1919-02-01
123,12,70,33,1919-02-08
368,40,161,34,1919-02-15
729,97,186,35,1919-02-22
825,163,195,36,1919-03-01
590,151,157,37,1919-03-08
359,140,75,38,1919-03-15
216,110,43,39,1919-03-22
119,84,36,40,1919-03-29
106,46,19,41,1919-04-05
91,39,16,42,1919-04-12
81,26,5,43,1919-04-19
44,21,3,44,1919-04-26
40,9,6,45,1919-05-03
27,5,3,46,1919-05-10
