London,Birmingham,Liverpool,week,date
13,2,2,1,1918-09-21
17,1,16,2,1918-09-28
25,2,34,3,1918-10-05
110,3,127,4,1918-10-12
519,15,226,5,1918-10-19
1579,60,211,6,1918-10-26
2651,106,180,7,1918-11-02
2413,204,115,8,1918-11-09
1588,261,74,9,1918-11-16
1160,322,54,10,1918-11-23
918,371,72,11,1918-11-30
597,266,68,12,1918-12-07
262,136,54,13,1918-12-14
165,61,43,14,1918-12-21
102,24,48,15,1918-12-28
72,20,71,16,1919-01-04
59,14,55,17,1919-01-11
44,7,33,18,1919-01-18
36,5,43,19,1919-01-25
68,8,27,20,1919-02-01
