Beta,Sigma,Gamma,Rho,k,Eta,N,loglik,loglik.se
22.626668729181112,2.0166908634871588,1.4052003815036098,0.19999999999999,10.000000000000044,0.09665722384422176,37999.999999999905,-103.53652603508786,0.03999320275398291
22.54394986075632,2.214657133805461,1.5549466079504255,0.19999999999998969,10.000000000000032,0.10237175645286656,37999.999999999935,-103.55723117206352,0.03357763421693088
19.39283991883295,2.93572902985324,1.2000000000000157,0.19999999999998969,10.000000000000048,0.09717920805135838,37999.99999999994,-103.56689471305327,0.04221754221366644
22.252925130043874,2.3766334115000713,1.465573812862947,0.19999999999998988,10.000000000000034,0.09890224642956216,37999.999999999905,-103.57588678166692,0.02275855420863732
22.06576794019635,2.368467441666178,1.5874741618580104,0.19999999999998963,10.000000000000032,0.10458106413055387,37999.99999999993,-103.57822529179316,0.03719509922767709
19.325106787601616,2.848326689082136,1.2000000000000126,0.1999999999999895,10.000000000000037,0.09839816821891385,37999.9999999999,-103.5812534808376,0.035867171715177
21.527382628694948,2.7730051422941866,1.5999999999999144,0.1999999999999893,10.000000000000028,0.10611171263823407,37999.99999999995,-103.58720271130925,0.03602869993598967
21.337682386170165,2.433058646800674,1.4000000000000912,0.19999999999998958,10.000000000000034,0.10014218202309756,37999.99999999993,-103.58893173015711,0.029172351016509456
22.09580522695154,2.567115834791755,1.70372214470374,0.19999999999998935,10.00000000000002,0.10832417466042714,37999.999999999935,-103.589425904314,0.02226112671834604
21.014145512365136,2.5063796137839582,1.3736207085329604,0.19999999999998988,10.000000000000034,0.09939953742880468,37999.99999999992,-103.5914596080294,0.03645974833561321
19.403332762270864,3.1666619636488917,1.4000000000000918,0.1999999999999893,10.000000000000025,0.10590615551055425,37999.99999999993,-103.59309086558576,0.02430856500792849
18.619082653037346,3.508229717363211,1.2895523943657268,0.1999999999999896,10.000000000000025,0.10344530771732688,37999.99999999994,-103.59343950321995,0.03480699860113365
21.731377331184746,2.403054156529537,1.381258400092048,0.19999999999998952,10.00000000000003,0.09736899951332728,37999.999999999935,-103.5951334512343,0.02650226788069912
24.708661766112392,1.9692696639025937,1.6999999999998296,0.19999999999998958,10.000000000000036,0.10105199456293469,37999.999999999905,-103.59518849856859,0.028398239410044258
19.358166012465528,3.0574978056012574,1.333268758688906,0.1999999999999897,10.00000000000003,0.102908237795776,37999.9999999999,-103.59872662244167,0.04055427700542725
19.756968379665413,2.897042017774901,1.3072337176806976,0.19999999999998944,10.000000000000028,0.10106597416835356,37999.99999999996,-103.59917962118784,0.03114690742989093
19.81940037682531,3.157887479879665,1.3988041092189605,0.19999999999998927,10.000000000000028,0.1038582538952782,37999.99999999992,-103.59929910886862,0.04370587294260379
25.04050867006955,2.032368954418705,1.8000000000001755,0.19999999999998908,10.000000000000021,0.1029943060170382,37999.999999999935,-103.59961565537631,0.02894451243160338
22.695376353113797,2.3361611037752765,1.6999999999998645,0.1999999999999893,10.00000000000003,0.10676341105577176,37999.999999999935,-103.60196715546176,0.04624719347180397
20.12023454309518,3.0686177931218444,1.5000000000000009,0.19999999999998924,10.000000000000027,0.106751840597068,37999.999999999935,-103.6020798975422,0.02350442779770418
21.276241583754892,2.6048861071907745,1.6143745392565376,0.19999999999998933,10.000000000000028,0.10698465473040196,37999.99999999994,-103.60391739650662,0.03044216873019275
23.474829363196726,2.4021403718817655,1.8000000000001757,0.1999999999999893,10.000000000000021,0.10716642618260964,37999.99999999994,-103.60596797443608,0.06013842081595093
18.66896917098035,3.376977013073095,1.217758913221345,0.19999999999998985,10.00000000000004,0.100643870837979,37999.999999999935,-103.60693623224232,0.0491145960803111
20.77374303063833,2.5572821605691067,1.4000000000000954,0.19999999999998933,10.000000000000034,0.10148107252182302,37999.999999999905,-103.60850268050358,0.041635375060332734
22.44794269344849,2.535053479509594,1.5742147782227258,0.19999999999998935,10.000000000000025,0.1019004878435494,37999.99999999995,-103.60899558332538,0.04170916930925093
20.386458207747808,2.592189818588494,1.2996424958362167,0.1999999999999899,10.000000000000036,0.09829157152573367,37999.99999999991,-103.60913765767596,0.03474803075523169
20.664181680699652,2.704174052323326,1.562665077265814,0.19999999999998944,10.000000000000028,0.10816467795960535,37999.99999999995,-103.6112518533744,0.0321505288375197
19.798344186094475,2.832674504437625,1.2914620033648294,0.19999999999998977,10.000000000000034,0.09998159852133227,37999.99999999996,-103.61200924295096,0.03668864781363626
21.4400116124874,2.62675102925432,1.5999999999999137,0.19999999999998921,10.000000000000025,0.10763606739026033,37999.999999999935,-103.61435594809987,0.020706246946831618
23.109729548452258,2.203051535977745,1.5999999999999146,0.19999999999998933,10.000000000000018,0.10262090174506382,37999.99999999993,-103.61439384170907,0.024279440438773458
17.680878267573988,4.174224682438322,1.4000000000000918,0.19999999999998935,10.000000000000028,0.11129849212596608,37999.999999999956,-103.61476532801296,0.03135394004698738
23.86109835903823,2.177399133180034,1.699999999999869,0.19999999999998944,10.00000000000003,0.10333255646689583,37999.99999999994,-103.61730921608613,0.038245812869363
21.056025251162165,2.314837063303517,2,0.17087075605819813,10.000000000000004,0.12938131546870277,38000,-103.61757514767824,0.04069597188072557
19.33110175249674,3.0446153567336087,1.3000000000000316,0.19999999999998946,10.000000000000034,0.1017943320279236,37999.99999999995,-103.61792492306512,0.025303101159304626
19.550381672127084,3.072838064388656,1.3547964694682606,0.19999999999998985,10.000000000000028,0.10298076596874024,37999.99999999994,-103.6187966164812,0.02999719552188468
30.93881985499268,1.9093867875401276,2,0.23377370337846665,9.999999999999991,0.09093051644141782,37999.99999999997,-103.61904608679338,0.03672942156080526
20.431457076456592,2.617055715483321,1.4168755749832134,0.19999999999998952,10.000000000000036,0.1030364883560409,37999.99999999994,-103.61940233170532,0.0347960272362318
19.179677871444987,2.8231007825521437,1.1800098865975974,0.19999999999999,10.000000000000044,0.09706474533792445,37999.999999999935,-103.62011540749567,0.02968309292736782
23.756258047054036,1.98892352383581,1.5350301143314176,0.19999999999998985,10.000000000000036,0.098284959133958,37999.99999999995,-103.62061950496876,0.0323238512788398
20.252864943516656,2.55474693962715,1.236965202458111,0.19999999999998969,10.000000000000028,0.09697450614812132,37999.99999999994,-103.62251764053566,0.0291335090256019
25.07805405801245,1.9675580959454821,1.6999999999998299,0.19999999999998933,10.000000000000028,0.10047379209220643,37999.99999999993,-103.62275108517188,0.03688272769718808
23.762047779920575,2.429740329878317,2,0.2006556834397913,10,0.1126955208429303,38000,-103.6228796613854,0.02995523619191153
22.094968572667053,2.2383709750403944,1.3971501885667037,0.19999999999998985,10.000000000000044,0.09812761459120384,37999.99999999993,-103.62429454397753,0.03491119075506278
22.046831570318595,2.1593682378482795,1.300000000000034,0.1999999999999894,10.000000000000037,0.09444960511859857,37999.99999999993,-103.6246773155696,0.043050249712760585
23.86620557762645,1.949300451015648,2,0.17947513935712864,10.000000000000004,0.11769252757739626,37999.99999999996,-103.6251986712412,0.04053645224545049
20.813210408293227,2.5241239197524843,2,0.17729045366384155,9.999999999999975,0.12763203005185428,38000,-103.6264704872388,0.01894220327737952
19.613518697919616,3.092875394847604,1.500000000000002,0.1999999999999893,10.000000000000028,0.10973485566232563,37999.99999999997,-103.62669100564904,0.03629096248068349
